seq,name,url,regular_course,initial_price,initial_price_str,components,money_back_guarantee,money_back_guarantee_str,carriage,img,lowest_cost,lowest_cost_str
1,LUNAプレミアム,https://c.ho-br.com/sbyreluph,有り,880,"¥880",エクオール･アグアへ･チェストツリー･ブラックコホシュ･ワイルドヤム･エラスチン,90,90日間,無料,thum01.png,13840,"¥13,840"
2,ベルタプエラリア,https://belta-shop.jp/shopping/lp.php?p=belta_pueraria_1_illust_cart,有り,6463,"¥6,463",プエラリア･ボルフィリン,無し,無し,無料,thum03.png,20940,"¥20,940"
3,ボムリッチGGジェルプレミアム,https://na-no-ka-shop.net/product-buy-form/bomrich_teiki,有り,3758,"¥3,758",プエラリア･ボルフィリン･ヒアルロン酸,無し,無し,無料,thum04.png,13435,"¥13,435"
4,クオリア,http://pupustore.info/cr/bu_g/,有り,4580,"¥4,580",プエラリア･エクオール･エラスチン･ブラックコホシュ･ワイルドヤム,無し,無し,無料,thum05.png,4580,"¥4,580"
5,エンジェルアップ,http://bi-up.net/user_data/angelup_new.php,有り,5980,"¥5,980",プエラリア･ワイルドヤム,無し,無し,無料,thum06.png,19374,"¥19,374"
6,レディーズプエラリア,http://www.pure-medical.co.jp/pm_landing/lp.html,無し,9519,"¥9,519",プエラリア,無し,無し,無料,thum07.png,10280,"¥10,280"
7,マシュマロヴィーナス,https://s-jikou.com,無し,7130,"¥7,130",プエラリア･エラスチン･アグアヘ･ワイルドヤム･チェストツリー,120,120日間,無料,thum08.png,21290,"¥21,290"
8,グラマー,http://bmotherleaf.shop-pro.jp/?pid=43769220,無し,6300,"¥6,300",プエラリア･ブラックコホシュ･チェストツリー,無し,無し,無料,thum09.png,5371,"¥5,371"
9,ハイスピードプエラリア,http://bustup100.com,有り,6454,"¥6,454",プエラリア･ボルフィリン･ワイルドヤム,無し,無し,無料,thum10.png,6970,"¥6,970"
10,ピンキープラス,https://ピンキープラス通販.asia,有り,2980,"¥2,980",ブラックコホシュ･ワイルドヤム,無し,無し,無料,thum11.png,17939,"¥17,939"
11,ボンキュート,http://bomcute.net/g_pc/,有り,1480,"¥1,480",プエラリア･アグアヘ,10,10日間,無料,thum12.png,17919,"¥17,919"
12,ハニーココ,https://bi-up.net/user_data/honeycoco.php,有り,5980,"¥5,980",プエラリア,110,110日間,無料,thum13.png,18401,"¥18,401"
13,ピュアプエラリア,https://item.rakuten.co.jp/bsh-japan/10000002/,無し,5926,"¥5,926",プエラリア,無し,無し,無料,thum14.png,5925,"¥5,925"
14,シンデレラアップ,https://bisainomori.com/lp/cinderella/ac9/,有り,4800,"¥4,800",プエラリア･エラスチン･アグアヘ･ワイルドヤム,無し,無し,無料,thum15.png,9880,"¥9,880"
15,DHC濃縮プエラリアミリフィカ,https://item.rakuten.co.jp/soukai/4511413401743/,無し,3047,"¥3,047",プエラリア･ブラックコホシュ,無し,無し,無料,thum16.png,2953,"¥2,953"
16,ボムBTサプリ,https://regular.peachjohn.co.jp/lp/bs/,有り,6800,"¥6,800",プエラリア･エラスチン,無し,無し,無料,thum17.png,6800,"¥6,800"
17,プレミアムプエラリア,https://item.rakuten.co.jp/infinityslab/4560447831262/,無し,1980,"¥1,980",プエラリア･ワイルドヤム,無し,無し,無料,thum18.png,1980,"¥1,980"
18,オリヒロのBBBプエラリア粒,https://item.rakuten.co.jp/orihiro/832324/,無し,1980,"¥1,980",プエラリア･ワイルドヤム,無し,無し,無料,thum19.png,1187,"¥1,187"
19,ドクタープエアグア,http://www.scitexdv.com/?p=5091,有り,9074,"¥9,074",プエラリア･アグアヘ,90,90日間,無料,thum20.png,9074,"¥9,074"
